,Video_id,Title,Published_date,Views,Likes,Comments,Month
441,iLd7e2RcFFs,Displaying Tshirt Variants on product page | NextJs Tutorial for Beginners #49,2022-04-03,15586,398,107,Apr
442,bufV6bW96Bc,Displaying Tshirts on Codeswear.com | NextJs Tutorial for Beginners #48,2022-04-02,12307,380,57,Apr
443,2TdzZcVR_4g,Creating APIs for Codeswear.com | NextJs Tutorial for Beginners #47,2022-04-02,17704,454,93,Apr
444,Z6FzMFXHaq4,Adding MongoDB Database to Codeswear.com | NextJs Tutorial for Beginners #46,2022-04-02,23424,541,64,Apr
445,pc2F7ECVc14,Creating Login & Signup Page Design for Codeswear.com | NextJs Tutorial for Beginners #45,2022-04-01,17568,508,90,Apr
446,9EAALKzzaz0,Creating Orders Page for Codeswear.com | NextJs Tutorial for Beginners #44,2022-04-01,12009,421,48,Apr
447,4_FkvAoC_zw,Improving Sidebar & Checkout Page for Codeswear.com | NextJs Tutorial for Beginners #43,2022-03-31,13816,424,107,Mar
448,vANPAex3fGU,One Lesson from ₹500 Currency note 🔥,2022-03-29,185509,27478,498,Mar
449,542oAYLGMNA,PHP in 8 Minutes 🔥,2022-03-28,115707,4900,316,Mar
450,sS-GyagLhJg,Creating Cart State for Codeswear.com | NextJs Tutorial for Beginners #42,2022-03-28,17935,512,131,Mar
451,SzExD4Sn-xM,Adding Pincode Serviceability Check on Codeswear.com | NextJs Tutorial for Beginners #41,2022-03-27,15934,516,93,Mar
452,cCWLM1HK7_E,The *most* valuable thing you have as a Developer!,2022-03-25,72850,7283,111,Mar
453,ALF4Tzlm9YQ,Designing Product Page for Codeswear.com | NextJs Tutorial for Beginners #40,2022-03-25,15356,508,116,Mar
454,u9_ePWVESU0,Designing the Cart Sidebar for Codeswear.com | NextJs Tutorial for Beginners #39,2022-03-24,22378,587,93,Mar
455,LxmXE7-Lh7w,"Designing Mugs, Sticker & Hoodies page for Codeswear.com | NextJs Tutorial for Beginners #38",2022-03-24,16023,514,107,Mar
456,1sPWvaiSbkM,Designing the Tshirts Page for Codeswear.com | NextJs Tutorial for Beginners #37,2022-03-23,17266,552,88,Mar
457,C3DLkaTP0FI,5 Top Skills to learn in 2022,2022-03-21,397279,20512,1081,Mar
458,Fpqz4VPXlN8,"Creating NavBar, Footer & HomePage for Codeswear.com | NextJs Tutorial for Beginners #36",2022-03-20,25366,730,124,Mar
459,kcwInHtJOkU,Creating Pages for Codeswear.com | NextJs Tutorial for Beginners #35,2022-03-19,20042,632,140,Mar
460,4ikvpHa02Iw,3 tips for better sleep (Sleep with Science),2022-03-18,126978,12689,153,Mar
461,A_iHEF82ULg,Codeswear.com - Project Setup using Tailwind CSS | NextJs Tutorial for Beginners #34,2022-03-18,22306,626,105,Mar
462,NYXxqmUvRec,Project 2: Codeswear.com - A Next.js powered E-Commerce Store | NextJs Tutorial for Beginners #33,2022-03-17,26154,884,114,Mar
463,gD5Ig1l_STM,One Tip that made me a Fast Typist!,2022-03-16,370708,42912,291,Mar
464,6cxxSgNF6-I,Adding huntingcoder.com Domain and  Search Console | NextJs Tutorial for Beginners #32,2022-03-16,15110,471,119,Mar
465,JHnmOSTwkmA,The Feynman Technique for Learning Anything 🔥,2022-03-14,104284,11947,193,Mar
466,lola9ADwrOQ,5 Effective Tips for taking Notes,2022-03-13,72661,7407,134,Mar
467,S1rix8GXErc,Tailwind CSS in 6 Minutes 🔥,2022-03-12,44499,1938,217,Mar
468,uBt7_-RIJjM,Deploying Hunting Coder | NextJs Tutorial for Beginners #31,2022-03-11,18527,507,98,Mar
469,E2dlagIvE6g,Adding Responsive Design to Hunting Coder | NextJs Tutorial for Beginners #30,2022-03-11,12891,357,70,Mar
470,GRUmg3SujN4,Adding Infinite Scroll to Hunting Coder | NextJs Tutorial for Beginners #29,2022-03-10,17035,493,98,Mar
