,Video_id,Title,Published_date,Views,Likes,Comments,Channel_Title,Month
102,JruqbFQkP30,Can I Cook A Tamizh Thaali? | Teaser | BuzzFeed India #Shorts,2021-11-30,59856,2576,34,BuzzFeed India,Nov
103,zKXo0vjHNJc,Who Has The Best Wendy's Order | BuzzFeed India,2021-11-27,558980,20671,680,BuzzFeed India,Nov
104,APxbpRy7JxA,Who Has The Best Wendy's Order? | Teaser | BuzzFeed India #Shorts,2021-11-26,56365,2346,44,BuzzFeed India,Nov
105,D42HHXdLkOs,Who Has The Best Faasos Order? | Bloopers | BuzzFeed India #Shorts,2021-11-22,60347,2216,12,BuzzFeed India,Nov
106,So-QOmG9UAM,We Tested Viral Makeup Trends | BuzzFeed India,2021-11-17,184940,10146,256,BuzzFeed India,Nov
107,M2mL1LkcviU,Squid Game Challenge Pt. 2 | Shorts | BuzzFeed India #Shorts,2021-11-16,83546,3849,22,BuzzFeed India,Nov
108,-aeAgKATD2c,Squid Game Challenge Pt. 1 | Shorts | BuzzFeed India #Shorts,2021-11-16,77348,3829,23,BuzzFeed India,Nov
109,L4QnS7KB4r0,Who Has The Best Faasos Order? | BuzzFeed India,2021-11-13,626855,24110,668,BuzzFeed India,Nov
110,VoWxsxvj0VI,Who Has The Best Faasos Order? | Teaser | #Shorts | BuzzFeed India,2021-11-12,81576,3524,54,BuzzFeed India,Nov
111,dOnUmZNG0-8,We Tested Viral Makeup Trends | Bloopers | #Shorts| BuzzFeed India,2021-11-08,18435,901,18,BuzzFeed India,Nov
112,mmK1XGSOUOA,Momo Pizza or Pizza Momo? | BuzzFeed India,2021-11-06,290127,15265,299,BuzzFeed India,Nov
113,PNtUA30tsKs,Momo Pizza or Pizza Momo? | Teaser | BuzzFeed India #Shorts,2021-11-05,135319,5804,37,BuzzFeed India,Nov
114,tmsOIob_bGw,Will Sasha Survive This Soan Papdi Challenge? | #Shorts | BuzzFeed India,2021-11-05,101471,3974,37,BuzzFeed India,Nov
115,Ezx44Y4yTi8,Who Has The Best Diwali Snacks? | BuzzFeed India,2021-11-03,387224,17788,926,BuzzFeed India,Nov
116,jMc_VaepoVo,Who Has The Best Diwali Snacks Order? #Shorts,2021-11-02,54237,2413,99,BuzzFeed India,Nov
117,i32pUj0wkeU,Should I Gift Her A Carpet? | Diwali Bloopers | BuzzFeed India #Shorts,2021-11-01,42747,1941,9,BuzzFeed India,Nov
118,OmQcQJJa0xc,Bollywood Inspired Diwali Fashion Challenge | BuzzFeed India,2021-10-30,221030,13401,243,BuzzFeed India,Oct
119,SmmmdZ-Rh1A,Bollywood Inspired Diwali Fashion Challenge | Teaser | BuzzFeed India #Shorts,2021-10-29,32606,1499,26,BuzzFeed India,Oct
120,p4oFKXYp19E,We Tested Viral Makeup Trends But They Fought Back | Teaser | BuzzFeed India #Shorts,2021-10-29,94456,3641,31,BuzzFeed India,Oct
121,_yZ6MXxbTGs,Sasha Failed This Challenge | Shorts | BuzzFeed India #Shorts,2021-10-26,43932,1598,24,BuzzFeed India,Oct
122,8EQMDI0Mh4k,Aishwarya And Abinaya Struggling To Follow A Diwali Recipe In Marathi |  #Shorts | BuzzFeed India,2021-10-25,33987,1449,22,BuzzFeed India,Oct
123,sBZe-alrfCQ,Can I Follow A Diwali Recipe In Marathi? | BuzzFeed India,2021-10-23,318418,14055,454,BuzzFeed India,Oct
124,XheDg_q0qKI,This Is What Happens When Aishwarya And Abinaya Try To Cook Together |  #Shorts | BuzzFeed India,2021-10-22,62360,3050,45,BuzzFeed India,Oct
125,JMygZBKadn8,We Didn't Have Internet For A Day And This Is What We Did! | #Shorts | BuzzFeed India,2021-10-21,65805,3636,48,BuzzFeed India,Oct
126,mW5DEsL7zn8,Who Has The Best Taco Bell Blooper? | BuzzFeed India #Shorts,2021-10-18,37981,1995,23,BuzzFeed India,Oct
127,AQ19_zhD7bw,Who Has The Best Taco Bell Order? | BuzzFeed India,2021-10-16,826152,28996,904,BuzzFeed India,Oct
128,lyt4xSs1Umw,Who Has The Best Taco Bell Order? | Teaser | BuzzFeed India #Shorts,2021-10-16,34055,1800,20,BuzzFeed India,Oct
129,RBqOPhuZegA,Can Sasha Draw This Legendary Painting Blindfolded? | #Shorts | BuzzFeed India,2021-10-14,31477,1301,25,BuzzFeed India,Oct
130,Y0rGqzDVmyw,Will This Trick Your Mind? | #Shorts | BuzzFeed India,2021-10-13,47851,3388,40,BuzzFeed India,Oct
131,Lu4BhJXgmos,Will Vishal Survive This Momo Challenge? | Shorts | BuzzFeed India,2021-10-12,67392,3572,33,BuzzFeed India,Oct
132,lKDN0pBCNzg,Can I Make A South Indian Meal With Oreos? | Bloopers,2021-10-11,24410,1064,19,BuzzFeed India,Oct
