,Video_id,Title,Published_date,Views,Likes,Comments,Channel_Title,Month
57,HJAwAKwFX-A,Learn how to use GitHub for Beginners | GitHub Tutorial,2021-08-06,48423,1374,59,techTFQ,Aug
58,kY5HtrkjSj0,Git Tutorial for Complete Beginners | Learn Git in 35 minutes,2021-07-16,34257,1293,127,techTFQ,Jul
59,LCVSmkyB4v8,Web Scraping in Python using Beautiful Soup | Writing a Python program to Scrape IMDB website,2021-07-05,95727,3348,323,techTFQ,Jul
60,6x7vHXfRAP0,Thank you for 1000 subscribers | Channel update | Who am i? & What i do?,2021-06-23,5998,150,63,techTFQ,Jun
61,-DrSbc8B0WI,Practice SQL and Python | How to Practice Programming | Using LeetCode,2021-06-08,26218,786,44,techTFQ,Jun
62,gsa1oFn9n0M,Logging Tutorial in Python | DON’T use Print for logging | How to Log messages in Python,2021-06-04,29938,742,57,techTFQ,Jun
63,Ww71knvhQ-s,"SQL Window Function | How to write SQL Query using RANK, DENSE RANK, LEAD/LAG | SQL Queries Tutorial",2021-05-21,564347,18369,1086,techTFQ,May
64,Jsnw6HLASZA,How to Read and Write Files in Python | File Handling Tutorial in Python,2021-05-05,8401,359,32,techTFQ,May
65,V_BozMwoYe4,Regular Expressions in Python | Regular Expressions Python Tutorial,2021-04-22,9696,284,58,techTFQ,Apr
66,0wjPsKDrYt8,What is Data Science (for beginners) | Data Science for Beginners | Data Science Life Cycle,2021-04-08,3978,140,10,techTFQ,Apr
67,1-z9ptlBar4,Best Resume Format | Tips for writing an AWESOME Resume | ATS Resume Format,2021-03-25,112410,3460,184,techTFQ,Mar
68,35dXEQJkFE8,Dictionary in Python (for beginners) | Python Dictionaries | Python Tutorial #10,2021-03-18,2512,65,7,techTFQ,Mar
69,jgNB4GN1UaQ,Lists in Python EXPLAINED | Python Lists | Python Tutorial for Beginners #9,2021-03-11,2161,59,8,techTFQ,Mar
70,fhxByMe0mq8,Exception Handling in Python | TRY EXCEPT in Python | Python Tutorial for Beginners #8,2021-03-04,8213,220,11,techTFQ,Mar
71,5bwpXLHzZRo,Local and Global Scope in Python | Local and Global Variables | Python Tutorial for Beginners #7,2021-03-01,3683,123,9,techTFQ,Mar
72,UzOnFDmoJ9w,What is a FUNCTION in Python | Python Functions | Python Tutorial for Beginners #6,2021-02-22,2293,73,7,techTFQ,Feb
73,HNChkuE6HyA,Import modules in Python | Import module from different directory | Python Tutorial for beginners #5,2021-02-14,51852,729,80,techTFQ,Feb
74,2gFqUWO-AWM,WHILE loop and FOR loop in Python | LOOP statements in Python | Python Tutorial for Beginners #4,2021-02-07,3352,107,24,techTFQ,Feb
75,NvdSKgQcyuc,IF ELSE ELIF statement in Python | IF ELSE Statement in Python | Python Tutorial for Beginners #3,2021-01-31,2617,86,11,techTFQ,Jan
76,BBb_duZIusU,What is a VARIABLE in Python | Python Variables | Python Tutorial for Beginners #2,2021-01-25,2682,98,16,techTFQ,Jan
77,PRGkYivK2xI,"What is DATA TYPE, OPERATORS and EXPRESSION in Python | Python Tutorial for Beginners #1",2021-01-18,4713,134,18,techTFQ,Jan
78,M323OL6K5vs,How to Install Python on Mac OS and How to Run Python code,2021-01-11,394636,5452,340,techTFQ,Jan
79,i7BjHjRafU8,Excel Alternative: How to use SQL to perform EXCEL tasks (SQL for Data Analysis),2021-01-03,28191,659,46,techTFQ,Jan
80,r2asdRpr3uw,iPhone 12 Pro Unboxing | 5 Reasons to BUY iPhone 12 Pro,2020-12-15,1103,37,24,techTFQ,Dec
81,Hl4NZB1XR9c,SQL Basics Tutorial for Beginners (Practice SQL Queries),2020-12-11,743600,16422,534,techTFQ,Dec
82,1aybOgni7lI,How to install PostgreSQL on Mac OS | Install and Uninstall PostgreSQL Database,2020-11-16,56903,578,92,techTFQ,Nov
83,j09EQ-xlh88,Learn What is Database | Types of Database | DBMS,2020-08-30,165218,3091,110,techTFQ,Aug
84,7nzTDrio7vY,Do you need a Smartwatch,2020-07-12,11210,182,46,techTFQ,Jul
85,J-uCLHTIWZ4,MacBook Pro 13 2020  One Week Later Review,2020-06-29,1338,70,20,techTFQ,Jun
86,_BMPh5M4BIY,MacBook Pro 13 2020 Unboxing,2020-06-22,2371,88,29,techTFQ,Jun
